item_id,name_cn,name_en,category,spec,uom,department
ITEM-0001,轨道含1000套道岔,,Structural,P24,ton,国内进口
ITEM-0002,过滤器含滤芯,Filter System,Mechanical Parts,DSP100P,set,Icon Ibrani V97
ITEM-0003,电池,VRLA Lead Acid Battery,Electrical,SAP 12-100,set,发电机房
ITEM-0004,锚索,PC Strand,Structural,17.8,roll,生产队
ITEM-0005,内六角螺丝,Hex Bolt Nut,Fasteners,M16*50  8.8级,set,掘机队
ITEM-0006,锂基脂润滑油,Lithium Grease,Mechanical Parts,安美重载汽车轮毂轴承润滑脂 LG2,drum,掘机队
ITEM-0007,耐高温锂基脂油,High Temp Lithium Grease,Mechanical Parts,安美重载汽车轮毂轴承润滑脂 LG3,drum,机电队
ITEM-0008,橡胶垫片,Rubber Gasket,Mechanical Parts,"4""inch JIS 10K",pcs,掘机队
ITEM-0009,硅酮密封胶,Silicone Sealant,Mechanical Parts,RTV Dextone Grey  up to 350°C @50g,tube,抽放队
ITEM-0010,管胶,PVC PVC Pipe Adhesive,Mechanical Parts,Dextone @ 400gr,can,机电队
ITEM-0011,玻璃胶,Glass Sealant,Mechanical Parts,Dextone Neutral Glass & Metal @300ml,can,洗煤
ITEM-0012,密封胶,Sealant,Mechanical Parts,Dextone Multi Purpose @300ml,can,建筑
ITEM-0013,槽钢,U-Channel,Structural,120 *12mtr SS400 SNI,pcs,生产队
ITEM-0014,焊条,Welding Rod,Structural,Bridge THJ422 3.2mm,box,电焊
ITEM-0015,角磨机割片,Grinder Cutting Wheel,Tools,Excon 107*1.2*16mm,pcs,皮带队
ITEM-0016,护目镜,Safety Glasses,Safety,White Clear,pcs,生产队
ITEM-0017,钳子,Combination Pliers,Tools,8'inch,pcs,机电队
ITEM-0018,刻刀,Cutter,Tools,18mm,pcs,机电队
ITEM-0019,吊带,Webbing Sling,Tools,5T*6M Powertec,pcs,回收队
ITEM-0020,轴承,Bearing,Mechanical Parts,SKF 6205,set,维修队
ITEM-0021,电动扳手,Cordless Brushless Impact Wrench,Water Treatment,DCPB1288,unit,回收队
ITEM-0022,液压油箱盖,Hydraulic Oil Tank Cap,Building/Civil,174-60-11310,pcs,车队
ITEM-0023,消声器,Muffler,Mechanical Parts,6251-11-5440,set,车队
ITEM-0024,驱动齿,Sprocket,Mechanical Parts,208-27-61210,set,车队
ITEM-0025,驱动齿螺栓,Sprocket Bolt,Fasteners,207-57-51311,pcs,车队
ITEM-0026,液压油箱粗滤,Hydraulic Filter Strainer,Mechanical Parts,22B-60-11160,pcs,车队
ITEM-0027,触点清洁器,Contact Cleaner,Electrical,Rexco-18,关,车队
ITEM-0028,钢管,Seamless Pipe,Structural,"SCH40 4""inch x 6mtr",pcs,掘机队
ITEM-0029,法兰盘,Flange,Structural,"Carbon Steel 4""inch JIS 10K NS",pcs,掘机队
ITEM-0030,小托盘,Anchor Tray,Structural,90mm*90mm*10mm,pcs,生产队
ITEM-0031,锚网片,WireMesh,Structural,M6 (100*100) - 2000*1200mm,pcs,生产队
ITEM-0032,蝶阀,Butterfly Valve,Mechanical Parts,"4""inch 铸铁杠杆，EPDM 阀座，全通径",pcs,抽采队
ITEM-0033,闸阀,Gate Valve,Mechanical Parts,"Cast Iron PN16 4""inch",pcs,掘机队
ITEM-0034,铁三通,CS Tee Fitting,Mechanical Parts,12'inch,pcs,掘机队
